numero;cidade;bairro;endereco;tipo;area;quartos;preco;avaliacao;desconto;economia;modalidade;aceita_financiamento;aceita_fgts;link;edital;matricula;descricao
10139954;Almirante Tamandaré;Mato Dentro;RODOVIA DOS MINÉRIOS, N. 6750, GLEBA;Gleba;72600.0;;1356159.46;4261000.0;68.18;2904840.54;Venda Direta Online;False;False;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10139954;;https://venda-imoveis.caixa.gov.br/editais/matricula/PR/0000010139954.pdf;Gleba, 0.00 de área total, 0.00 de área privativa, 72600.00 de área do terreno.
10011968;Colombo;Guaraituba;AV PREFEITO JOAO BATISTA STOCCO, N. 1590, LT 01 QD E;Comercial;2890.8;;2458247.78;4880000.0;49.63;2421752.22;Licitação Aberta;False;False;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10011968;https://venda-imoveis.caixa.gov.br/editais/EA00170326CPVERE.PDF;https://venda-imoveis.caixa.gov.br/editais/matricula/PR/0000010011968.pdf;Comercial, 0.00 de área total, 2890.80 de área privativa, 3960.00 de área do terreno.
8787705420250;Campo Largo;Itaqui;RODOVIA DOS EXPEDICIONARIOS, N. 1145, Apto 1716, BL17;Apartamento;40.0;2;102438.63;186000.0;44.93;83561.37;Venda Direta Online;False;False;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787705420250;;;Apartamento, 101.65 de área total, 40.00 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.
8444401022685;Curitiba;Cidade Industrial;RUA JOSE LAURINDO DE SOUZA, N. 1373, CASA 01;Casa;66.8;3;158793.25;285000.0;44.29;126206.75;Licitação Aberta;False;False;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444401022685;https://venda-imoveis.caixa.gov.br/editais/EA00240326CPVERE.PDF;https://venda-imoveis.caixa.gov.br/editais/matricula/PR/8444401022685.pdf;Casa, 66.80 de área total, 66.80 de área privativa, 80.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), 1 lavabo(s), cozinha, 1 vaga(s) de garagem.
8787700861037;Curitiba;Abranches;RUA WILSON GOMES RAMOS, N. 120, Apto 303, BL 07;Apartamento;67.45;2;137483.13;246000.0;44.12;108516.87;Licitação Aberta;False;False;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787700861037;https://venda-imoveis.caixa.gov.br/editais/EA00240326CPVERE.PDF;https://venda-imoveis.caixa.gov.br/editais/matricula/PR/8787700861037.pdf;Apartamento, 0.00 de área total, 67.45 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.
8444401362753;Fazenda Rio Grande;Nacoes;R SUECIA, N. 511, 02,;Casa;54.0;2;171015.6;306000.0;44.12;134984.4;Licitação Aberta;False;False;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444401362753;https://venda-imoveis.caixa.gov.br/editais/EA00240326CPVERE.PDF;https://venda-imoveis.caixa.gov.br/editais/matricula/PR/8444401362753.pdf;Casa, 0.00 de área total, 54.00 de área privativa, 193.21 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.
8555516351888;Araucária;Tindiquera;RUA LINDOLFO LUIZ BOELL, N. 170, Apto 43, BL 02 TIPO D VG 45;Apartamento;42.27;2;102990.09;182000.0;43.42;79009.91;Licitação Aberta;False;False;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555516351888;https://venda-imoveis.caixa.gov.br/editais/EA00140326CPVERE.PDF;https://venda-imoveis.caixa.gov.br/editais/matricula/PR/8555516351888.pdf;Apartamento, 0.00 de área total, 42.27 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.
8787703152487;Campo Largo;Jardim Itaqui;RUA MARIA JOAQUINA VAZ, N. 721, Apto 301, BL11 VG 93;Apartamento;40.31;2;112651.21;195000.0;42.24;82348.79;Venda Direta Online;False;False;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787703152487;;https://venda-imoveis.caixa.gov.br/editais/matricula/PR/8787703152487.pdf;Apartamento, 0.00 de área total, 40.31 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.
8555528936487;Curitiba;Tatuquara;RUA ANTONIO ZANON, N. 190, Apto 21, TIPO A BL 01 PV 01 VG 05;Apartamento;47.95;;118428.19;205000.0;42.24;86571.81;Licitação Aberta;False;False;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555528936487;https://venda-imoveis.caixa.gov.br/editais/EA00240326CPVERE.PDF;https://venda-imoveis.caixa.gov.br/editais/matricula/PR/8555528936487.pdf;Apartamento, 0.00 de área total, 47.95 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.
8787702327518;Campo Largo;Jardim Itaqui;RUA MARIA JOAQUINA VAZ, N. 721, Apto 402, TIPO 07 PAV 04 BL 36 VG 884;Apartamento;40.0;2;97066.99;168000.0;42.23;70933.01;Venda Online;False;False;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787702327518;;https://venda-imoveis.caixa.gov.br/editais/matricula/PR/8787702327518.pdf;Apartamento, 45.91 de área total, 40.00 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.
8787702413406;Campo Largo;Jardim Itaqui;RUA MARIA JOAQUINA VAZ, N. 721, Apto 206, BL 29 VG 1081;Apartamento;40.0;2;98222.55;170000.0;42.23;71777.45;Venda Online;False;False;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787702413406;;https://venda-imoveis.caixa.gov.br/editais/matricula/PR/8787702413406.pdf;Apartamento, 45.92 de área total, 40.00 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.
